OldRel,NewRel
"PiratesOfTheCaribbeanCurseOfTheBlackPearl.mkv","Pirates of the Caribbean The Curse of the Black Pearl (2003).mkv"
"Poltergeis t1982c irculatethetapes.mkv","Poltergeist (1982).mkv"
"Predator.avi","Predator (1987).avi"
"ReadyPlayerOne.mkv","Ready Player One (2018).mkv"
"RedDawn.mkv","Red Dawn (1984).mkv"
"ReignOfFire.mkv","Reign of Fire (2002).mkv"
"RoadHous e19891080p Rifftra x13R ifferRifftra x2M ike.mkv","Road House (1989).mkv"
"RunningMan.avi","The Running Man (1987).avi"
"Spiderman Trilogy\SpiderMa n2 2004.mkv","Spider-Man 2 (2004).mkv"
"Spiderman Trilogy\SpiderMa n3 2007.mkv","Spider-Man 3 (2007).mkv"
"Spiderman Trilogy\SpiderMan 2002.mkv","Spider-Man (2002).mkv"
"Star Trek\StarTrek 2009.mkv","Star Trek (2009).mkv"
"Star Trek\StarTrekIITheWrathOfKhan 1982.mkv","Star Trek II The Wrath of Khan (1982).mkv"
"Star Wars\Star.Wars.Original.Trilogy.ep4-6.1977-1983.1080p.Rifftrax.6ch.2ch.v2\StarWarsEpisodeIVANewHope 1977 1080p Rifftrax 6ch 2ch Plinkett.mkv","Star Wars Episode IV A New Hope (1977).mkv"
"Star Wars\Star.Wars.Original.Trilogy.ep4-6.1977-1983.1080p.Rifftrax.6ch.2ch.v2\StarWarsEpisodeVIReturnOfTheJedi 1983.mkv","Star Wars Episode VI Return of the Jedi (1983).mkv"
"Star Wars\Star.Wars.Original.Trilogy.ep4-6.1977-1983.1080p.Rifftrax.6ch.2ch.v2\StarWarsEpisodeVTheEmpireStrikesBack 1980.mkv","Star Wars Episode V The Empire Strikes Back (1980).mkv"
"Star Wars\StarWarsEpisodeIIAttackOfTheClones.mkv","Star Wars Episode II Attack of the Clones (2002).mkv"
"Star Wars\StarWarsEpisodeIIIRevengeOfTheSith.mkv","Star Wars Episode III Revenge of the Sith (2005).mkv"
"Star Wars\StarWarsEpisodeIThePhantomMenac e1999P linkett.mkv","Star Wars Episode I The Phantom Menace (1999).mkv"
"Star Wars\StarWarsEpisodeIVANewHop e19771080p Rifftra x6c h2c hPlinkett.mkv","Star Wars Episode IV A New Hope (1977).mkv"
"Star Wars\StarWarsEpisodeIVANewHop e1977P linkett.mkv","Star Wars Episode IV A New Hope (1977).mkv"
"Star Wars\StarWarsEpisodeVIReturnOfTheJedi 1983.mkv","Star Wars Episode VI Return of the Jedi (1983).mkv"
"Star Wars\StarWarsEpisodeVIReturnOfTheJedi.mkv","Star Wars Episode VI Return of the Jedi (1983).mkv"
"Star Wars\StarWarsEpisodeVTheEmpireStrikesBack 1980.mkv","Star Wars Episode V The Empire Strikes Back (1980).mkv"
"Star Wars\StarWarsEpisodeVTheEmpireStrikesBack.mkv","Star Wars Episode V The Empire Strikes Back (1980).mkv"
"Star Wars\StarWarsRogueOne.mkv","Rogue One A Star Wars Story (2016).mkv"
"Star Wars\StarWarsSolo 2018.mkv","Solo A Star Wars Story (2018).mkv"
"Star Wars\StarWarsSolo2018.mkv","Solo A Star Wars Story (2018).mkv"
"Star Wars\StarWarsTheLastJedi.mkv","Star Wars The Last Jedi (2017).mkv"
"Star Wars\TheStarWarsHolidaySpecialhighTV.mp4","The Star Wars Holiday Special (1978).mp4"
"StarshipTroopers.mkv","Starship Troopers (1997).mkv"
"StreetFighter 1994.mkv","Street Fighter (1994).mkv"
"Terminator\Terminato r3R iseOfTheMachines 2003.mkv","Terminator 3 Rise of the Machines (2003).mkv"
"TheFifthElement.mkv","The Fifth Element (1997).mkv"
"TheGrudge.mkv","The Grudge (2004).mkv"
"TheHappening 2008.mkv","The Happening (2008).mkv"
"TheIslandOfDrMoreau.mkv","The Island of Dr. Moreau (1996).mkv"
"TheWizardofO z(1939).mkv","The Wizard of Oz (1939).mkv"
"Titanic.mkv","Titanic (1997).mkv"
"TopGunMaverick 2022.mkv","Top Gun Maverick (2022).mkv"
"Total Recall\TotalRecallMindBendingEditio n19901080p BluRay x264Y IFY.mp4","Total Recall Mind-Bending Edition (1990).mp4"
"TV\Heroes s01e01.mkv","Heroes S01E01 (2006).mkv"
"TV\Star Trek\Season 04\StarTrek S04E03.mkv","E!'s Inside Star Trek Special (1993).mkv"
"TV\StrangerThings s01e01 2016.mkv","Stranger Things S01E01 (2016).mkv"
"TV\TheIncredibleHulkFinalRoun d1978c irculatethetapes.mkv","The Incredible Hulk Final Round (1978).mkv"
"TV\TheXFilesFightTheFuture 1998.mkv","The X-Files Fight the Future (1998).mkv"
"TV\TV\Season 01\TV S01E01.mkv","AMW-TV Episode 01 (2016).mkv"
"TV\TV\Season 01\TV S01E02.mkv",""
"WickerMan.avi","The Wicker Man (1973).avi"
"WillyWonkaAndTheChocolateFactory.mkv","Willy Wonka & the Chocolate Factory (1971).mkv"
"WonderWoma n1984 2020.mkv","Wonder Woman 1984 (2020).mkv"
"Star Wars\S t a r W a r s E p i s o d e I V A N e w H o p e19771080p R i f f t r a x6c h2c h P l i n k e t t.mkv","Star Wars Episode IV A New Hope (1977).mkv"
"WonderWoma n1984 2020.mkv","Wonder Woman 1984 (2020).mkv"
